10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:20 Event RX Timeout,,,,
10:28:24 Event RX Timeout,,,,
10:28:28 Event RX Timeout,,,,
10:28:32 Event RX Timeout,,,,
10:28:36 Event RX Timeout,,,,
10:28:40 Event RX Timeout,,,,
10:28:44 Event RX Timeout,,,,
10:28:48 Event RX Timeout,,,,
10:28:52 Event RX Timeout,,,,
10:28:56 Event RX Timeout,,,,
10:29:00 Event RX Timeout,,,,
10:29:04 Event RX Timeout,,,,
10:29:08 Event RX Timeout,,,,
10:29:23 Event RX Timeout,,,,
10:29:27 Event RX Timeout,,,,
10:33:39 iOuC,305,102440,64795,-86,9
10:33:40 iOuC,305,102440,64795,-80,9
10:33:41 iOuC,306,102440,64782,-87,9
10:33:42 iOuC,305,102440,64802,-92,8
10:33:43 iOuC,306,102440,64789,-92,8
10:33:44 iOuC,306,102440,64789,-94,8
10:33:45 iOuC,306,102440,64789,-98,7
10:33:46 iOuC,306,102438,64789,-102,5
10:33:47 iOuC,306,102438,64795,-98,7
10:33:48 iOuC,306,102438,64795,-83,9
10:33:50 iOuC,306,102438,64795,-86,9
10:33:51 iOuC,306,102440,64782,-96,8
10:33:52 iOuC,306,102440,64802,-89,9
10:33:53 iOuC,306,102440,64789,-86,9
10:33:54 iOuC,306,102440,64789,-97,7
10:33:55 iOuC,306,102440,64795,-100,7
10:33:58 Event RX Timeout,,,,
10:34:00 iOuC,307,102442,64841,-92,8
10:34:01 iOuC,305,102440,64795,-89,9
10:34:02 iOuC,305,102440,64802,-86,9
10:34:03 iOuC,305,102440,64795,-85,9
10:34:04 iOuC,305,102442,64782,-85,9
10:34:05 iOuC,305,102440,64795,-84,8
10:34:06 iOuC,305,102440,64795,-86,9
10:34:07 iOuC,305,102440,64795,-88,8
10:34:08 iOuC,306,102440,64795,-91,8
10:34:09 iOuC,306,102440,64789,-81,8
10:34:10 iOuC,306,102440,64795,-92,8
10:34:11 iOuC,306,102442,64795,-91,9
10:34:12 iOuC,306,102440,64782,-95,8
10:34:13 iOuC,306,102440,64789,-96,8
10:34:14 iOuC,306,102440,64795,-87,8
10:34:15 iOuC,306,102440,64769,-89,8
10:34:16 iOuC,306,102440,64789,-88,8
10:34:17 iOuC,306,102440,64789,-98,7
10:34:18 iOuC,306,102440,64795,-89,8
10:34:19 iOuC,306,102438,64789,-96,9
10:34:20 iOuC,306,102438,64789,-82,8
10:34:21 iOuC,306,102438,64782,-83,8
10:34:22 iOuC,306,102438,64775,-82,9
10:34:23 iOuC,306,102436,64775,-84,8
10:34:25 iOuC,306,102436,64789,-83,9
10:34:26 iOuC,306,102436,64795,-89,9
10:34:27 iOuC,306,102436,64795,-84,8
10:34:28 iOuC,306,102436,64782,-85,9
10:34:29 iOuC,306,102436,64775,-85,8
10:34:30 iOuC,306,102436,64775,-80,8
10:34:31 iOuC,306,102436,64775,-82,8
10:34:32 iOuC,306,102436,64775,-82,9
10:34:33 iOuC,306,102434,64769,-82,8
10:34:34 iOuC,306,102434,64769,-89,9
10:34:35 iOuC,306,102434,64769,-86,8
10:34:36 iOuC,306,102434,64782,-88,8
10:34:37 iOuC,306,102434,64769,-86,8
10:34:38 iOuC,306,102434,64775,-93,8
10:34:39 iOuC,306,102434,64775,-93,8
10:34:40 iOuC,306,102434,64775,-86,8
10:34:41 iOuC,306,102434,64789,-85,9
10:34:42 iOuC,306,102434,64762,-84,8
10:34:43 iOuC,306,102434,64769,-85,10
10:34:44 iOuC,306,102432,64769,-85,9
10:34:45 iOuC,306,102434,64769,-86,9
10:34:46 iOuC,306,102434,64756,-88,8
10:34:47 iOuC,306,102434,64769,-87,8
10:34:48 iOuC,306,102434,64769,-89,8
10:34:50 iOuC,306,102434,64769,-82,9
10:34:51 iOuC,306,102430,64769,-82,8
10:34:52 iOuC,306,102430,64762,-82,8
10:34:53 iOuC,306,102430,64756,-81,8
10:34:54 iOuC,306,102430,64775,-86,9
10:34:55 iOuC,306,102430,64756,-86,8
10:34:56 iOuC,306,102430,64769,-91,8
10:34:57 iOuC,305,102432,64742,-85,9
10:34:58 iOuC,306,102430,64756,-87,8
10:34:59 iOuC,306,102430,64762,-81,8
10:35:00 iOuC,306,102430,64756,-82,8
10:35:01 iOuC,306,102430,64749,-83,8
10:35:02 iOuC,306,102428,64756,-78,8
10:35:03 iOuC,306,102428,64769,-81,9
10:35:04 iOuC,306,102428,64769,-84,9
10:35:08 Event RX Timeout,,,,
10:35:11 Event RX Timeout,,,,
10:35:15 Event RX Timeout,,,,
10:35:19 Event RX Timeout,,,,
10:35:23 Event RX Timeout,,,,
10:35:26 Event RX Timeout,,,,
10:35:30 Event RX Timeout,,,,
